cell_name,cell_type,cell_type_pooled
X1772072282_G12,IFE-B,IFE-B
X1772072282_H10,IFE-B,IFE-B
X1772072283_A11,IFE-DII,IFE-D
X1772072283_B03,IFE-DI,IFE-D
X1772072283_D03,IFE-DII,IFE-D
X1772072283_D12,IFE-B,IFE-B
X1772072283_E07,IFE-KI,IFE-K
X1772072283_F03,IFE-KI,IFE-K
X1772072283_G02,IFE-DII,IFE-D
X1772072283_H08,IFE-DII,IFE-D
X1772072283_H09,IFE-KI,IFE-K
X1772072284_A01,IFE-KII,IFE-K
X1772072284_A03,IFE-DI,IFE-D
X1772072284_B10,IFE-DII,IFE-D
X1772072284_C02,IFE-DI,IFE-D
X1772072284_C05,IFE-DI,IFE-D
X1772072284_C06,IFE-B,IFE-B
X1772072284_C08,IFE-DII,IFE-D
X1772072284_D05,IFE-DI,IFE-D
X1772072284_E01,IFE-KI,IFE-K
X1772072284_G03,IFE-KI,IFE-K
X1772072284_G06,IFE-DII,IFE-D
X1772072284_G12,IFE-DII,IFE-D
X1772072285_A02,IFE-KI,IFE-K
X1772072285_A03,IFE-KI,IFE-K
X1772072285_A09,IFE-KI,IFE-K
X1772072285_A11,IFE-DI,IFE-D
X1772072285_B01,IFE-KI,IFE-K
X1772072285_B02,IFE-KI,IFE-K
X1772072285_B03,IFE-KI,IFE-K
X1772072285_B04,IFE-DI,IFE-D
X1772072285_B05,IFE-B,IFE-B
X1772072285_B07,IFE-KI,IFE-K
X1772072285_B12,IFE-B,IFE-B
X1772072285_C06,IFE-KI,IFE-K
X1772072285_D05,IFE-DI,IFE-D
X1772072285_D09,IFE-KI,IFE-K
X1772072285_E02,IFE-KI,IFE-K
X1772072285_G06,IFE-B,IFE-B
